lib	package_name	module_path	version							specifier				marker						requirement						distribution_metadata			distribution_record					entry_points			pep621		pep517			sdist_filename	compatibility_tag						wheel_filename		wheel_metadata		wheel							installation			sdist_manifest					script			locator						index						resource	
	canonicalize	resolve	parse	compose	compare	canonicalize	validate	bump	serialize	parse	match	edit	serialize	parse	compare	match	edit	serialize	infer_environment	parse_req_syntax	serialize_req_syntax	parse_dist_metadata_syntax	serialize_dist_metadata_syntax	req_to_dist	edit	parse	compose	serialize	compose	parse	serialize	verify	uninstall	parse	edit	serialize	parse	generate	build_wheel	build_editable_wheel	build_sdist	parse	parse	edit	create	serialize	infer	match	parse	make	parse	serialize	read	compose	modify	editable_compose	install	import	verify_hashes	scan	cache	lookup	parse	execute	modify	serialize	lint	lookup	create	current_machine_kind	lookup	fs	index_xml	index_json	index_simple	combined	create_version	yank_version	upload_file	upload_site	verify	lookup	lookup	iterate
packaging	✅.utils.canonicalize_name	❌	✅.version.Version	⚠️._version	✅__magic__	✅.utils.canonicalize_version	❌	❌	✅.__str__	✅.specifiers.SpecifierSet	✅.filter	⚠️._spec	✅.__str__	✅.markers.Marker	✅.__eq__	✅.evaluate	⚠️._markers	✅.__str__	✅.markers.default_environment	✅.requirements.Requirement	✅.__str__	❌	❌	❌	✅.requirements.Requirement	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	✅.utils.parse_sdist_filename	✅.tags.Tag	⚠️._	✅.tags.generic_tags	✅.__str__	✅.tags.{generic_tags,platform_tags,compatible_tags}	✅.__eq__	✅.utils.parse_wheel_filename	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌
distlib	✅.util.normalize_name	✅.util.resolve	✅.versions.NormalizedVersion	❌	✅__magic__	❌	?	❌	?	❌	❌	❌	❌	✅.util.parse_marker	❌	✅.markers.{interpret,Evaluator}	❌	❌	✅.markers.default_context	❌	❌	✅.versions.NormalizedMatcher	❌	❌	❌	✅.metadata.Metadata, Distribution.metadata	✅.metadata.Metadata	✅.metadata.Metadata.write	❌	❌	❌	✅.database.InstalledDistribution.check_installed_files	❌	✅.util.read_exports,.database.InstalledDistribution.read_exports 	❌	✅.util.write_exports,.database.InstalledDistribution.write_exports	❌	❌	❌	❌	❌	?	❌.wheel.Wheel.buildver	❌	❌.wheel.Wheel.buildver	❌.wheel.Wheel.buildver	✅.wheel.compatible_tags	✅.wheel.is_compatible	✅.utils.split_filename	✅.wheel.Wheel.filename	✅.wheel.Wheel.metadata	❌	❌	✅.wheel.Wheel.build	✅.wheel.Wheel.update	❌	✅.wheel.Wheel.install	✅.wheel.Wheel.mount	✅.wheel.Wheel.verify	✅.database.DistributionPath.get_distributions	✅.database.DistributionPath.enable_cache	✅.database.DistributionPath.get_distribution	❌	✅.manifest.Manifest.process_directive	✅.manifest.Manifest	❌	❌	✅.scripts.ScriptMaker.get_script_filenames	✅.scripts.ScriptMaker.make	❌	✅.locators.Locator.locate	✅.locators.DistPathLocator, .locators.DirectoryLocator	✅.locators.PyPIRPCLocator	✅.locators.PyPIJSONLocator	✅.locators.SimpleScrapingLocator	✅.locators.AggregatingLocator	✅.index.PackageIndex.register	❌	✅.index.PackageIndex.upload_file	✅.index.PackageIndex.upload_documentation	✅.index.PackageIndex.verify_signature	✅.index.PackageIndex.search	✅.resources.ResourceFinder.find	✅.resources.ResourceFinder.iterator
installer	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	✅.records.RecordEntry	✅.records.parse_record_file	✅.records.RecordEntry.to_row	✅.records.RecordEntry.validate	❌	✅.utils.parse_entrypoints	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	✅.utils.parse_wheel_filename	❌	❌	❌	✅.sources.WheelFile	❌	❌	❌	✅._core.install	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	✅.destinations.SchemeDictionaryDestination.write_file	✅.utils.get_launcher_kind	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌
uninstaller	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌.uninstaller.Uninstaller.uninstall	✅.uninstaller.Uninstaller.uninstall	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌
pyproject-hooks	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	✅.BuildBackendHookCaller.{get_requires_for_build_wheel, prepare_metadata_for_build_wheel, build_wheel}	✅.BuildBackendHookCaller.{get_requires_for_build_editable,prepare_metadata_for_build_editable,build_editable}	✅.BuildBackendHookCaller.{get_requires_for_build_sdist,build_sdist}	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌
build	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	✅.ProjectBuilder	✅.ProjectBuilder	✅.ProjectBuilder	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌
pyproject-metadata	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	✅.StandardMetadata	✅.StandardMetadata.as_rfc822	❌	❌	❌	❌	❌	❌	❌	❌	✅.StandardMetadata.from_pyproject	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌
editables	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌
wheel	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	✅.metadata.{requires_to_requires_dist,convert_requirements}	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	✅.wheelfile.WHEEL_INFO_RE.match	❌	❌	❌	❌	✅.wheelfile.WheelFile.{open,write,writestr}	❌	❌	❌	❌	✅.wheelfile.WheelFile.__init__	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌	❌
